TeamRating,Shots,ShotsTarget,PassSuccess,DribbleCom,Tackles,Possesion,Result
4,14,5,74,6,20,53,3
4,14,8,58,13,14,37,1
3,23,13,80,11,24,72,2
4,20,9,84,16,19,45,1
5,18,10,79,11,19,49,2
5,7,3,76,10,15,34,2
5,24,7,75,11,19,49,3
3,35,9,86,14,6,71,3
4,21,3,85,20,11,70,2
4,23,6,72,12,14,57,1
4,16,6,84,12,14,64,3
3,17,2,84,10,16,68,3
5,19,5,86,22,17,62,3
3,26,14,90,20,13,70,1
5,12,7,87,10,26,64,2
3,16,8,86,8,14,73,1
3,23,9,80,11,19,75,2
4,15,7,78,10,20,52,2
3,21,8,84,15,11,61,1
5,13,7,61,18,14,30,3
5,11,3,82,18,23,46,3
3,14,7,81,11,14,60,1
3,12,6,80,9,17,57,2
3,17,10,86,16,21,53,1
4,23,3,88,18,13,79,3
3,14,5,86,17,20,70,3
3,21,7,88,7,12,56,1
5,14,9,77,13,21,46,3
4,22,9,88,24,20,55,1
4,18,6,79,9,15,61,2
3,19,5,80,7,14,58,1
4,14,4,79,10,17,61,2
5,16,7,75,18,33,36,1
5,16,7,82,14,21,50,3
3,26,5,72,15,18,80,2
5,13,3,85,14,20,50,3
5,17,11,82,13,17,62,1
5,13,5,80,11,20,47,2
4,32,12,79,10,17,74,2
4,18,6,86,12,18,59,1
5,9,3,80,11,22,64,3
3,21,7,81,13,16,67,1
4,7,6,80,10,27,44,2
4,28,17,85,15,19,59,1
4,15,2,79,10,22,64,3
3,27,7,85,15,19,77,1
4,10,3,79,11,19,60,2
4,19,3,80,10,11,67,3
3,11,4,82,14,20,67,1
5,15,4,80,11,19,62,2
4,20,6,80,10,26,63,2
5,5,1,82,13,23,43,1
4,21,15,80,11,9,70,3
5,13,4,80,12,28,44,3
4,16,5,79,11,11,73,2
5,7,3,78,11,15,62,3
5,17,9,79,12,17,50,2
4,17,7,77,9,20,69,3
5,18,7,83,13,16,53,1
4,10,3,84,13,6,63,1
5,13,4,80,11,29,40,3
5,10,6,81,12,23,51,1
4,20,8,82,13,22,66,3
4,15,4,83,11,23,55,1
3,15,2,82,12,21,63,1
3,14,1,79,10,23,72,2
4,12,8,82,13,12,60,1
4,17,8,79,14,13,64,3
4,26,11,85,16,16,66,1
3,25,10,81,12,14,73,3
3,8,3,77,12,19,53,2
3,13,2,82,15,22,45,1
5,15,8,80,12,25,34,3
4,13,1,77,9,12,62,2
5,8,4,79,9,23,44,2
3,23,7,79,10,19,58,3
3,21,12,83,14,27,62,1
4,13,4,81,11,27,49,3
5,12,3,82,10,29,51,3
4,15,2,81,12,23,60,3
5,16,7,83,14,27,57,1
4,22,4,79,10,28,63,2
5,14,9,81,13,32,41,3
4,10,2,83,12,24,52,1
3,10,1,79,11,26,60,2
4,10,1,77,9,26,60,3
3,12,4,75,8,19,65,2
3,26,5,79,11,18,65,2
4,17,6,84,13,16,57,1
4,23,2,79,9,18,65,2
5,22,6,80,11,21,60,3
5,19,4,76,7,36,53,2
4,13,7,85,14,22,52,1
3,14,1,78,9,30,64,2
4,16,5,80,11,16,71,3
4,11,9,88,16,24,61,1
5,4,1,76,8,27,51,2
4,19,5,81,12,23,62,1
4,17,8,79,10,11,51,2
